date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:02	8155/8155	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20Apr%202020%2003:23:13%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/wow.min.js?ver=v1.3.0%20	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/themes/buzz-agency/assets/js/wow.mind6ec.js	(from https://incampus.in/)
20:18:03	897/897	---M--	200	added ('OK')	image/png	etag:%225f4a6ac2-381%22	https://incampus.in/assets/favicon/favicon-32x32.png	E:/My%20Web%20Sites/incampus/incampus.in/assets/favicon/favicon-32x32.png	(from https://incampus.in/)
20:18:03	3781/3781	---M--	200	added ('OK')	image/png	etag:%225f4a6ac2-ec5%22	https://incampus.in/assets/favicon/android-chrome-192x192.png	E:/My%20Web%20Sites/incampus/incampus.in/assets/favicon/android-chrome-192x192.png	(from https://incampus.in/)
20:18:03	3529/3529	---M--	200	added ('OK')	image/png	etag:%225f4a6ac2-dc9%22	https://incampus.in/assets/favicon/apple-touch-icon.png	E:/My%20Web%20Sites/incampus/incampus.in/assets/favicon/apple-touch-icon.png	(from https://incampus.in/)
20:18:03	7406/7406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225f4a6ac2-1cee%22	https://incampus.in/assets/favicon/favicon.ico	E:/My%20Web%20Sites/incampus/incampus.in/assets/favicon/favicon.ico	(from https://incampus.in/)
20:18:04	5190/5190	---M--	200	added ('OK')	image/png	etag:%225f4a6ac2-1446%22	https://incampus.in/logo.png	E:/My%20Web%20Sites/incampus/incampus.in/logo.png	(from https://incampus.in/)
20:18:04	22184/22184	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Sep%202019%2005:58:25%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/slider-image_agency-01.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/slider-image_agency-01.png	(from https://incampus.in/)
20:18:05	23551/23551	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Sep%202019%2005:58:35%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/slider-image_agency-02.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/slider-image_agency-02.png	(from https://incampus.in/)
20:18:06	17514/17514	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Sep%202019%2012:41:20%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/about-bg.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/about-bg.png	(from https://incampus.in/)
20:18:06	121973/121973	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Oct%202019%2010:36:24%20GMT	https://demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/slider-image_agency-03.png	E:/My%20Web%20Sites/incampus/demo.aarambhathemes.com/buzz-agency/wp-content/uploads/2019/09/slider-image_agency-03.png	(from https://incampus.in/)
